"row","col","corr"
"Marinagarivorans","X32526",-0.305566086805768
"marine metagenome","X32526",-0.607452011176853
"Marinimicrobia bacterium SCGC AAA003-E22","X32526",-0.369265030614421
"Marinimicrobia bacterium SCGC AAA160-I06","X32526",-0.467449855714311
"Marinobacter","X32526",-0.353415434498539
"Marinoscillum","X32526",-0.474850879733136
"MB11C04 marine group","X32526",-0.231342643286748
"MD3-55","X32526",-0.111040313066506
"metagenome","X32526",-0.595619378922839
"Milano-WF1B-03","X32526",-0.261480312666092
"MWH-UniP1 aquatic group","X32526",-0.22654032456574
"Nitrosomonas","X32526",-0.208177565090716
"Nitrospina","X32526",-0.505394308982367
"NS10 marine group","X32526",0.218925153134729
"NS2b marine group","X32526",-0.512672132817205
"NS4 marine group","X32526",-0.0230102446986066
"NS5 marine group","X32526",-0.293164043846207
"Oleibacter","X32526",-0.233460944177978
"Oleiphilus","X32526",0.183676909061608
"Oleispira","X32526",-0.214874981140355
"OM27 clade","X32526",-0.431141322727747
"OM43 clade","X32526",-0.09300942166712
"OM60(NOR5) clade","X32526",0.0445811739188749
"OM75 clade","X32526",-0.34885386768757
"Pelagicoccus","X32526",-0.265630579541792
"Peredibacter","X32526",-0.348082483166106
"Persicirhabdus","X32526",-0.248235059863973
"Planktomarina","X32526",0.421310724249132
"Porticoccus","X32526",-0.0698851114052019
"Prochlorococcus MIT9313","X32526",-0.235257283579672
"Pseudoalteromonas","X32526",-0.483336670452982
"Pseudofulvibacter","X32526",-0.427685250004504
"Pseudohongiella","X32526",-0.269200832521233
"Pseudomonas","X32526",-0.318285375102592
"Psychromonas","X32526",-0.299087793829328
"Reichenbachiella","X32526",-0.288196097937954
"Rhodobacteraceae bacterium REDSEA-S29_B10","X32526",-0.174226656397391
"Rhodopirellula","X32526",-0.427011490094667
"Roseibacillus","X32526",-0.233327244010623
"Roseobacter clade NAC11-7 lineage","X32526",-0.298923265895815
"Rubripirellula","X32526",-0.377230551413766
"Ruegeria","X32526",0.249858599399247
"Saprospira","X32526",0.384083227816367
"SAR116 cluster bacterium REDSEA-S10_B10N8","X32526",-0.219125147363108
"SAR202 cluster bacterium SCGC AAA240-N13","X32526",-0.330085129094728
"SAR86 cluster bacterium REDSEA-S09_B4","X32526",-0.385736363850828
"SAR92 clade","X32526",-0.0149782046317758
"SCGC AAA164-E04","X32526",-0.225901719494661
"seawater metagenome","X32526",-0.168174442022153
"Shewanella","X32526",-0.239291962555358
"Sinobacterium","X32526",-0.181943139290272
"Sulfitobacter","X32526",0.288088793435371
"SUP05 cluster","X32526",-0.375472248893233
"Sva0996 marine group","X32526",-0.491796502232321
"Synechococcus CC9902","X32526",-0.430304701386739
"Thalassotalea","X32526",-0.329959840326001
"Ulvibacter","X32526",0.510393273935862
"A714019","X4964",-0.247478948388457
"Aliiglaciecola","X4964",-0.16034405861927
"Alteromonas","X4964",-0.244210739101019
"Alteromonas macleodii","X4964",-0.209685559450902
"Amphritea","X4964",-0.104545217825992
"Amylibacter","X4964",-0.0370206113311836
"Ascidiaceihabitans","X4964",-0.369083821206098
"AT-s3-44","X4964",-0.220623628908419
"Aureispira","X4964",-0.278606407548638
"BD1-7 clade","X4964",-0.294939783429468
"Blastopirellula","X4964",-0.265337562515757
"Candidatus Actinomarina","X4964",-0.0701402842679563
"Candidatus Endoecteinascidia","X4964",-0.225965623123686
"Candidatus Nitrosopelagicus","X4964",-0.261761009429814
"Candidatus Nitrosopumilus","X4964",-0.251687332206825
"Candidatus Puniceispirillum","X4964",-0.0851619250569564
"Catenovulum","X4964",-0.198499857209864
"CL500-3","X4964",-0.276367983437909
"Clade Ia","X4964",-0.146591180050201
"Clade Ib","X4964",-0.273487765096904
"Cm1-21","X4964",-0.215807718239301
"Colwellia","X4964",-0.228714641727949
"Crocinitomix","X4964",-0.2644403417112
"D_7__Chaetoceros","X4964",-0.104943982210815
"Dokdonia","X4964",-0.145698896781421
"Flavicella","X4964",-0.214954069203186
"Fluviicola","X4964",-0.0140284362665021
"Formosa","X4964",0.288201164044354
"Francisella","X4964",-0.13705934433824
"FS140-16B-02 marine group","X4964",-0.25763108507519
"Halioglobus","X4964",-0.235983198284479
"Halomonas","X4964",-0.236623103701131
"Hellea","X4964",0.106835954802796
"hydrothermal vent metagenome","X4964",-0.320774872724579
"Idiomarina","X4964",-0.241789300514413
"IS-44","X4964",0.04849686568323
"JL-ETNP-F27","X4964",-0.247360495612134
"Lentimonas","X4964",-0.0133271237609515
"Lentisphaera","X4964",-0.284976509133353
"Lewinella","X4964",-0.172205362902974
"LS-NOB","X4964",-0.2392164050677
"Luminiphilus","X4964",-0.00519369346518787
"Magnetospira","X4964",-0.218718509683167
"Marinagarivorans","X4964",-0.167890289953351
"marine metagenome","X4964",-0.372920440006491
"Marinimicrobia bacterium SCGC AAA003-E22","X4964",-0.213793193773655
"Marinimicrobia bacterium SCGC AAA160-I06","X4964",-0.316054217250757
"Marinobacter","X4964",-0.198358465258331
"Marinoscillum","X4964",-0.396486631281345
"MB11C04 marine group","X4964",-0.350626808326917
"MD3-55","X4964",-0.0334723030504726
"metagenome","X4964",-0.326366821735142
"Milano-WF1B-03","X4964",-0.155618502303564
"MWH-UniP1 aquatic group","X4964",-0.0922301235499681
"Nitrosomonas","X4964",-0.14888617077617
"Nitrospina","X4964",-0.295997725477516
"NS10 marine group","X4964",-0.122681212788262
"NS2b marine group","X4964",-0.269380461357914
"NS4 marine group","X4964",-0.284139326629376
"NS5 marine group","X4964",-0.244220449665024
"Oleibacter","X4964",-0.159017881086579
"Oleiphilus","X4964",-0.348894769122285
"Oleispira","X4964",-0.130773882467688
"OM27 clade","X4964",-0.297546011549587
"OM43 clade","X4964",-0.16576516272981
"OM60(NOR5) clade","X4964",-0.0485317571188083
"OM75 clade","X4964",-0.223396899559362
"Pelagicoccus","X4964",-0.126986106477673
"Peredibacter","X4964",-0.229505373273149
"Persicirhabdus","X4964",-0.0912907430209462
"Planktomarina","X4964",0.281344055310167
"Porticoccus","X4964",-0.0404768649192139
"Prochlorococcus MIT9313","X4964",-0.0964617690487835
"Pseudoalteromonas","X4964",-0.281520794176292
"Pseudofulvibacter","X4964",-0.233995336861977
"Pseudohongiella","X4964",-0.0723551754304522
"Pseudomonas","X4964",-0.23307410093432
"Psychromonas","X4964",-0.171780025807957
"Reichenbachiella","X4964",-0.16538896180342
"Rhodobacteraceae bacterium REDSEA-S29_B10","X4964",-0.0827769216747802
"Rhodopirellula","X4964",-0.253018716376905
"Roseibacillus","X4964",-0.135466488106766
"Roseobacter clade NAC11-7 lineage","X4964",-0.233052406735926
"Rubripirellula","X4964",-0.246575628814032
"Ruegeria","X4964",-0.197832397686455
"Saprospira","X4964",-0.205581657327091
"SAR116 cluster bacterium REDSEA-S10_B10N8","X4964",-0.0868395081926754
"SAR202 cluster bacterium SCGC AAA240-N13","X4964",-0.189245768025941
"SAR86 cluster bacterium REDSEA-S09_B4","X4964",-0.218939105596288
"SAR92 clade","X4964",-0.187735422817512
"SCGC AAA164-E04","X4964",-0.184244587256815
"seawater metagenome","X4964",-0.0622223457699253
"Shewanella","X4964",-0.217157665790455
"Sinobacterium","X4964",-0.109164216829005
"Sulfitobacter","X4964",-0.1373904365073
"SUP05 cluster","X4964",-0.326720279833637
"Sva0996 marine group","X4964",-0.288773650586167
"Synechococcus CC9902","X4964",-0.215526904761673
"Thalassotalea","X4964",-0.158453573697574
"Ulvibacter","X4964",0.201682516903761
"A714019","X122",0.223879856246502
"Aliiglaciecola","X122",-0.145348670075529
"Alteromonas","X122",0.0501848434433042
"Alteromonas macleodii","X122",0.112818554971378
"Amphritea","X122",0.111322673532592
"Amylibacter","X122",-0.165490951086568
"Ascidiaceihabitans","X122",0.0781247865935003
"AT-s3-44","X122",0.0497409484679833
"Aureispira","X122",-0.0693955515120226
"BD1-7 clade","X122",0.0677842317123283
"Blastopirellula","X122",0.273435790257653
"Candidatus Actinomarina","X122",-0.101505260134161
"Candidatus Endoecteinascidia","X122",0.170195062618113
"Candidatus Nitrosopelagicus","X122",0.210214081747068
"Candidatus Nitrosopumilus","X122",0.239811240546791
"Candidatus Puniceispirillum","X122",-0.162774602575591
"Catenovulum","X122",-0.02570069847267
"CL500-3","X122",0.131975867217395
"Clade Ia","X122",-0.0918004016835258
"Clade Ib","X122",0.151844923642823
"Cm1-21","X122",0.272624528984633
"Colwellia","X122",0.0247392645110933
"Crocinitomix","X122",0.191271666659594
"D_7__Chaetoceros","X122",-0.0606445415225078
"Dokdonia","X122",-0.146518279247525
"Flavicella","X122",-0.127032650598799
"Fluviicola","X122",-0.0912381383684685
"Formosa","X122",-0.278081434149457
"Francisella","X122",-0.11639684631706
"FS140-16B-02 marine group","X122",0.113507390097253
"Halioglobus","X122",0.251892266211176
"Halomonas","X122",-0.0360873137897105
"Hellea","X122",-0.165297461734873
"hydrothermal vent metagenome","X122",0.258918965175863
"Idiomarina","X122",0.089983770090055
"IS-44","X122",-0.0577909287990689
"JL-ETNP-F27","X122",0.273505548448042
"Lentimonas","X122",-0.172267553291819
"Lentisphaera","X122",0.134798367324343
"Lewinella","X122",-0.120730228511023
"LS-NOB","X122",0.179057546121433
"Luminiphilus","X122",-0.0881146697653086
"Magnetospira","X122",0.0610111285763836
"Marinagarivorans","X122",-0.0674100044062436
"marine metagenome","X122",0.187484289221717
"Marinimicrobia bacterium SCGC AAA003-E22","X122",0.0500929172581587
"Marinimicrobia bacterium SCGC AAA160-I06","X122",0.132899582202482
"Marinobacter","X122",-0.0542190664273316
"Marinoscillum","X122",-0.0624311421700737
"MB11C04 marine group","X122",0.174417311174593
"MD3-55","X122",-0.177992349801662
"metagenome","X122",0.12646481582791
"Milano-WF1B-03","X122",0.268443174856896
"MWH-UniP1 aquatic group","X122",-0.111042109383101
"Nitrosomonas","X122",0.102961351755636
"Nitrospina","X122",0.205533955831989
"NS10 marine group","X122",0.19372631548874
"NS2b marine group","X122",-0.0197918703328733
"NS4 marine group","X122",-0.0423076470886196
"NS5 marine group","X122",-0.154822854622914
"Oleibacter","X122",0.00960756425676777
"Oleiphilus","X122",0.0516399034551481
"Oleispira","X122",-0.0478077806138633
"OM27 clade","X122",0.243888851086559
"OM43 clade","X122",-0.162450415775667
"OM60(NOR5) clade","X122",-0.19315207731766
"OM75 clade","X122",0.0313241315888678
"Pelagicoccus","X122",-0.112186412760552
"Peredibacter","X122",0.32667652453162
"Persicirhabdus","X122",-0.151165294680635
"Planktomarina","X122",-0.2379475036975
"Porticoccus","X122",0.00156095733654743
"Prochlorococcus MIT9313","X122",-0.0618463436793032
"Pseudoalteromonas","X122",0.103215667530689
"Pseudofulvibacter","X122",0.196990980742273
"Pseudohongiella","X122",-0.109782938291213
"Pseudomonas","X122",0.170315688122783
"Psychromonas","X122",0.219067172660138
"Reichenbachiella","X122",0.000907825556666254
"Rhodobacteraceae bacterium REDSEA-S29_B10","X122",-0.0949692974965511
"Rhodopirellula","X122",0.182305903120594
"Roseibacillus","X122",-0.139234653385511
"Roseobacter clade NAC11-7 lineage","X122",0.0232827929800206
"Rubripirellula","X122",0.28036588365142
"Ruegeria","X122",-0.073458253449575
"Saprospira","X122",-0.097139662352402
"SAR116 cluster bacterium REDSEA-S10_B10N8","X122",-0.116263421491114
"SAR202 cluster bacterium SCGC AAA240-N13","X122",0.101937432191472
"SAR86 cluster bacterium REDSEA-S09_B4","X122",0.201344773421678
"SAR92 clade","X122",-0.122423058611935
"SCGC AAA164-E04","X122",0.111052987780165
"seawater metagenome","X122",-0.136009664030751
"Shewanella","X122",0.13874385255525
"Sinobacterium","X122",0.182143944039831
"Sulfitobacter","X122",-0.149337035517641
"SUP05 cluster","X122",0.211278265782826
"Sva0996 marine group","X122",0.210307832142198
"Synechococcus CC9902","X122",-0.0978145819810133
"Thalassotalea","X122",0.0478859777266284
"Ulvibacter","X122",-0.202167638895763
"A714019","X36884",0.0596594932447969
"Aliiglaciecola","X36884",-0.0953761568498742
"Alteromonas","X36884",0.133132241969755
"Alteromonas macleodii","X36884",0.215023078483526
"Amphritea","X36884",-0.131210477958305
"Amylibacter","X36884",-0.203885156037654
"Ascidiaceihabitans","X36884",-0.146020810670331
"AT-s3-44","X36884",0.253080554395776
"Aureispira","X36884",0.354933909097661
"BD1-7 clade","X36884",-0.0771256591401002
"Blastopirellula","X36884",0.0259936201426028
"Candidatus Actinomarina","X36884",-0.130792294126342
"Candidatus Endoecteinascidia","X36884",0.197500506786616
"Candidatus Nitrosopelagicus","X36884",0.118372385129347
"Candidatus Nitrosopumilus","X36884",0.110546044421691
"Candidatus Puniceispirillum","X36884",-0.114580821934386
"Catenovulum","X36884",0.000478908816934245
"CL500-3","X36884",0.0012573550474792
"Clade Ia","X36884",-0.072537557041961
"Clade Ib","X36884",0.385008483252431
"Cm1-21","X36884",0.0761173808506459
"Colwellia","X36884",-0.0180367011979996
"Crocinitomix","X36884",0.0318633245705622
"D_7__Chaetoceros","X36884",-0.0878935977621857
"Dokdonia","X36884",0.142507034779617
"Flavicella","X36884",0.0820255111015303
"Fluviicola","X36884",-0.248443134306497
"Formosa","X36884",-0.121405662367685
"Francisella","X36884",-0.0360702746642318
"FS140-16B-02 marine group","X36884",0.285094472904562
"Halioglobus","X36884",0.0962887270714698
"Halomonas","X36884",0.416474886083546
"Hellea","X36884",-0.168465086457722
"hydrothermal vent metagenome","X36884",0.197599869947434
"Idiomarina","X36884",0.147482930515762
"IS-44","X36884",-0.145053872879373
"JL-ETNP-F27","X36884",-0.0301450338832758
"Lentimonas","X36884",-0.055004427520241
"Lentisphaera","X36884",0.0325166719678589
"Lewinella","X36884",-0.0645886580144015
"LS-NOB","X36884",0.107699278785734
"Luminiphilus","X36884",-0.14843567533432
"Magnetospira","X36884",0.201090082827073
"Marinagarivorans","X36884",-0.000513904675379418
"marine metagenome","X36884",0.285575157580007
"Marinimicrobia bacterium SCGC AAA003-E22","X36884",0.333507173657561
"Marinimicrobia bacterium SCGC AAA160-I06","X36884",0.0932072856453456
"Marinobacter","X36884",0.290439333855743
"Marinoscillum","X36884",0.05863863245323
"MB11C04 marine group","X36884",-0.00675545524465972
"MD3-55","X36884",0.0632998768053341
"metagenome","X36884",0.0609840612272181
"Milano-WF1B-03","X36884",0.0823801618727725
"MWH-UniP1 aquatic group","X36884",-0.0249505112527232
"Nitrosomonas","X36884",-0.0156939930818138
"Nitrospina","X36884",0.21819716491355
"NS10 marine group","X36884",-0.0598053477683598
"NS2b marine group","X36884",0.0444092200963948
"NS4 marine group","X36884",-0.158616881252653
"NS5 marine group","X36884",-0.139560022491889
"Oleibacter","X36884",-0.030104192512037
"Oleiphilus","X36884",-0.0804499731532776
"Oleispira","X36884",-0.00753702330952932
"OM27 clade","X36884",0.0630558612315832
"OM43 clade","X36884",-0.150232220810073
"OM60(NOR5) clade","X36884",-0.159227938490169
"OM75 clade","X36884",-0.0657489048900733
"Pelagicoccus","X36884",-0.0572766286542129
"Peredibacter","X36884",-0.116078131057425
"Persicirhabdus","X36884",-0.048326425074876
"Planktomarina","X36884",-0.224993275810038
"Porticoccus","X36884",-0.119134325056218
"Prochlorococcus MIT9313","X36884",-0.0590410437559621
"Pseudoalteromonas","X36884",0.163284354765433
"Pseudofulvibacter","X36884",0.027454227931992
"Pseudohongiella","X36884",-0.0728541483486878
"Pseudomonas","X36884",0.198736642124556
"Psychromonas","X36884",-0.0278038309056853
"Reichenbachiella","X36884",-0.120778964969419
"Rhodobacteraceae bacterium REDSEA-S29_B10","X36884",0.0341104563494953
"Rhodopirellula","X36884",0.189857132645175
"Roseibacillus","X36884",0.0418350439444178
"Roseobacter clade NAC11-7 lineage","X36884",0.027774323588981
"Rubripirellula","X36884",0.069627039579111
"Ruegeria","X36884",-0.116583552778956
"Saprospira","X36884",-0.131188337446498
"SAR116 cluster bacterium REDSEA-S10_B10N8","X36884",-0.0473643662833716
"SAR202 cluster bacterium SCGC AAA240-N13","X36884",0.243651737149478
"SAR86 cluster bacterium REDSEA-S09_B4","X36884",0.049838479650763
"SAR92 clade","X36884",-0.136818647208623
"SCGC AAA164-E04","X36884",-0.0155238245088996
"seawater metagenome","X36884",-0.0774024805155456
"Shewanella","X36884",-0.133805343509572
"Sinobacterium","X36884",0.00871882673533454
"Sulfitobacter","X36884",-0.124526637597376
"SUP05 cluster","X36884",0.0319270528946213
"Sva0996 marine group","X36884",0.171976340231067
"Synechococcus CC9902","X36884",-0.0505139255377365
"Thalassotalea","X36884",-0.0781476109689192
"Ulvibacter","X36884",-0.174756188432284
"A714019","X166",0.205503203175056
"Aliiglaciecola","X166",-0.18033848957593
"Alteromonas","X166",0.0527777129824104
"Alteromonas macleodii","X166",0.120996681948276
"Amphritea","X166",0.0890414734484697
"Amylibacter","X166",-0.168631618596341
"Ascidiaceihabitans","X166",0.0909394458170028
"AT-s3-44","X166",0.0645013387920936
"Aureispira","X166",-0.0913618767750055
"BD1-7 clade","X166",0.0712288331013785
"Blastopirellula","X166",0.29256921429651
"Candidatus Actinomarina","X166",-0.117262591494671
"Candidatus Endoecteinascidia","X166",0.175761056868682
"Candidatus Nitrosopelagicus","X166",0.211252247736127
"Candidatus Nitrosopumilus","X166",0.237614675490175
"Candidatus Puniceispirillum","X166",-0.181873723631905
"Catenovulum","X166",-0.0473979079255332
"CL500-3","X166",0.132422330089694
"Clade Ia","X166",-0.10506540936457
"Clade Ib","X166",0.148267540664862
"Cm1-21","X166",0.277024116165218
"Colwellia","X166",0.0126046441629482
"Crocinitomix","X166",0.170360138323558
"D_7__Chaetoceros","X166",-0.0506421867641142
"Dokdonia","X166",-0.155866316457369
"Flavicella","X166",-0.156314648948055
"Fluviicola","X166",-0.0920316488040036
"Formosa","X166",-0.286629192778972
"Francisella","X166",-0.133103502172348
"FS140-16B-02 marine group","X166",0.11675011745385
"Halioglobus","X166",0.267059797167557
"Halomonas","X166",-0.022228762767862
"Hellea","X166",-0.158676332649369
"hydrothermal vent metagenome","X166",0.261101684822292
"Idiomarina","X166",0.0958774950540552
"IS-44","X166",-0.0567064997775343
"JL-ETNP-F27","X166",0.24589817166367
"Lentimonas","X166",-0.189185302853304
"Lentisphaera","X166",0.116575618957726
"Lewinella","X166",-0.117901561909611
"LS-NOB","X166",0.163574383422035
"Luminiphilus","X166",-0.107451157836764
"Magnetospira","X166",0.0671710627462193
"Marinagarivorans","X166",-0.0948985730832226
"marine metagenome","X166",0.191416476860403
"Marinimicrobia bacterium SCGC AAA003-E22","X166",0.0676961121597293
"Marinimicrobia bacterium SCGC AAA160-I06","X166",0.112016620842193
"Marinobacter","X166",-0.0558791618491228
"Marinoscillum","X166",-0.0793376020598688
"MB11C04 marine group","X166",0.179049848701629
"MD3-55","X166",-0.200079882864846
"metagenome","X166",0.103378911429075
"Milano-WF1B-03","X166",0.282072674640678
"MWH-UniP1 aquatic group","X166",-0.12145027068495
"Nitrosomonas","X166",0.0915508507433868
"Nitrospina","X166",0.205253623509246
"NS10 marine group","X166",0.243706819950152
"NS2b marine group","X166",-0.0421249413966013
"NS4 marine group","X166",-0.0607021994082035
"NS5 marine group","X166",-0.182945955438092
"Oleibacter","X166",-0.00238734418708422
"Oleiphilus","X166",0.0668018245393155
"Oleispira","X166",-0.0538528988562465
"OM27 clade","X166",0.246136305868606
"OM43 clade","X166",-0.179455603755367
"OM60(NOR5) clade","X166",-0.210792098046756
"OM75 clade","X166",0.011467537455892
"Pelagicoccus","X166",-0.123106010512073
"Peredibacter","X166",0.328365108347441
"Persicirhabdus","X166",-0.163544956048478
"Planktomarina","X166",-0.242553456303613
"Porticoccus","X166",0.018905327957286
"Prochlorococcus MIT9313","X166",-0.0698987651824124
"Pseudoalteromonas","X166",0.095793458530613
"Pseudofulvibacter","X166",0.205472696567129
"Pseudohongiella","X166",-0.127469554349919
"Pseudomonas","X166",0.203330286552723
"Psychromonas","X166",0.217481694575521
"Reichenbachiella","X166",-0.0247948991023591
"Rhodobacteraceae bacterium REDSEA-S29_B10","X166",-0.101783954239906
"Rhodopirellula","X166",0.175698798737145
"Roseibacillus","X166",-0.147236590268427
"Roseobacter clade NAC11-7 lineage","X166",0.00274952301293721
"Rubripirellula","X166",0.302514513153289
"Ruegeria","X166",-0.0640739230530355
"Saprospira","X166",-0.0926349853257247
"SAR116 cluster bacterium REDSEA-S10_B10N8","X166",-0.120989343507909
"SAR202 cluster bacterium SCGC AAA240-N13","X166",0.115960081448895
"SAR86 cluster bacterium REDSEA-S09_B4","X166",0.208672359046284
"SAR92 clade","X166",-0.137206842350241
"SCGC AAA164-E04","X166",0.107162289936155
"seawater metagenome","X166",-0.158192366927097
"Shewanella","X166",0.113484942276727
"Sinobacterium","X166",0.197244270209659
"Sulfitobacter","X166",-0.152850933395216
"SUP05 cluster","X166",0.212299518188525
"Sva0996 marine group","X166",0.220684534257323
"Synechococcus CC9902","X166",-0.124832889729386
"Thalassotalea","X166",0.0155163718789326
"Ulvibacter","X166",-0.198152072344522
"A714019","X24629",-0.255582431513938
"Aliiglaciecola","X24629",0.331482104219419
"Alteromonas","X24629",-0.254244442888382
"Alteromonas macleodii","X24629",-0.35066789232027
"Amphritea","X24629",-0.0581730824985676
"Amylibacter","X24629",0.602057778658495
"Ascidiaceihabitans","X24629",0.154208965243812
"AT-s3-44","X24629",-0.358254265149565
"Aureispira","X24629",-0.0492031477544788
"BD1-7 clade","X24629",-0.0342239383517871
"Blastopirellula","X24629",-0.166931926126196
"Candidatus Actinomarina","X24629",0.384839768652096
"Candidatus Endoecteinascidia","X24629",-0.33665512726521
"Candidatus Nitrosopelagicus","X24629",-0.367004827646863
"Candidatus Nitrosopumilus","X24629",-0.231825573206127
"Candidatus Puniceispirillum","X24629",0.713984549620378
"Catenovulum","X24629",-0.102301220435301
"CL500-3","X24629",-0.000829915734561023
"Clade Ia","X24629",0.22428318573699
"Clade Ib","X24629",-0.41117443830448
"Cm1-21","X24629",-0.238945318872845
"Colwellia","X24629",-0.154564026884033
"Crocinitomix","X24629",-0.229881716528229
"D_7__Chaetoceros","X24629",0.0261144811973969
"Dokdonia","X24629",-0.0522956841391172
"Flavicella","X24629",-0.051796098905471
"Fluviicola","X24629",0.4955781442268
"Formosa","X24629",0.219264709925104
"Francisella","X24629",0.139409498345149
"FS140-16B-02 marine group","X24629",-0.374382622334667
"Halioglobus","X24629",-0.201833591262094
"Halomonas","X24629",-0.241737061766611
"Hellea","X24629",0.360693993873176
"hydrothermal vent metagenome","X24629",-0.386411756155975
"Idiomarina","X24629",-0.251906754491889
"IS-44","X24629",0.59183056061011
"JL-ETNP-F27","X24629",-0.242263265021424
"Lentimonas","X24629",0.694880594056105
"Lentisphaera","X24629",-0.16524401277853
"Lewinella","X24629",0.0951916918741263
"LS-NOB","X24629",-0.213680916872604
"Luminiphilus","X24629",0.847128228224406
"Magnetospira","X24629",-0.340373151206218
"Marinagarivorans","X24629",-0.0896063651658234
"marine metagenome","X24629",-0.409610829901894
"Marinimicrobia bacterium SCGC AAA003-E22","X24629",-0.356398922234454
"Marinimicrobia bacterium SCGC AAA160-I06","X24629",-0.223113135303691
"Marinobacter","X24629",-0.218505822083948
"Marinoscillum","X24629",0.119642282589855
"MB11C04 marine group","X24629",0.29827813852568
"MD3-55","X24629",0.292178858937167
"metagenome","X24629",-0.161694491416344
"Milano-WF1B-03","X24629",-0.156251272800668
"MWH-UniP1 aquatic group","X24629",0.0149872118973381
"Nitrosomonas","X24629",-0.0831186968277673
"Nitrospina","X24629",-0.389020646320185
"NS10 marine group","X24629",-0.0457950125934635
"NS2b marine group","X24629",-0.0285475200793406
"NS4 marine group","X24629",0.432686885488627
"NS5 marine group","X24629",0.698371141073539
"Oleibacter","X24629",-0.0227346941977338
"Oleiphilus","X24629",-0.0320815792173048
"Oleispira","X24629",-0.145198494827046
"OM27 clade","X24629",-0.14978645720889
"OM43 clade","X24629",0.814693270836491
"OM60(NOR5) clade","X24629",0.877744942403939
"OM75 clade","X24629",-0.133602658936088
"Pelagicoccus","X24629",0.0354015518606528
"Peredibacter","X24629",-0.292805127349539
"Persicirhabdus","X24629",0.759709261723042
"Planktomarina","X24629",0.557997182500715
"Porticoccus","X24629",0.185169584089679
"Prochlorococcus MIT9313","X24629",-0.0788329944155197
"Pseudoalteromonas","X24629",-0.251200671709224
"Pseudofulvibacter","X24629",-0.279331456540765
"Pseudohongiella","X24629",0.812495765405602
"Pseudomonas","X24629",-0.295524306534722
"Psychromonas","X24629",-0.255003133292888
"Reichenbachiella","X24629",-0.127612922874966
"Rhodobacteraceae bacterium REDSEA-S29_B10","X24629",-0.0614228110278252
"Rhodopirellula","X24629",-0.326820874286745
"Roseibacillus","X24629",0.680872639715837
"Roseobacter clade NAC11-7 lineage","X24629",-0.0521172639609041
"Rubripirellula","X24629",-0.210452185184183
"Ruegeria","X24629",-0.0510896058073225
"Saprospira","X24629",-0.038509545414577
"SAR116 cluster bacterium REDSEA-S10_B10N8","X24629",0.112321253861267
"SAR202 cluster bacterium SCGC AAA240-N13","X24629",-0.330269530144606
"SAR86 cluster bacterium REDSEA-S09_B4","X24629",-0.345241997447767
"SAR92 clade","X24629",0.728996865114097
"SCGC AAA164-E04","X24629",0.00530268671390635
"seawater metagenome","X24629",0.830265346215474
"Shewanella","X24629",-0.201790740433689
"Sinobacterium","X24629",0.0171150018759193
"Sulfitobacter","X24629",0.437287067294828
"SUP05 cluster","X24629",-0.0887520830819676
"Sva0996 marine group","X24629",-0.402844712940563
"Synechococcus CC9902","X24629",0.331038768412821
"Thalassotalea","X24629",0.180640201911243
"Ulvibacter","X24629",0.228385430347167
"A714019","X13428",0.495511325514128
"Aliiglaciecola","X13428",0.0315255037997077
"Alteromonas","X13428",0.0656213986860987
"Alteromonas macleodii","X13428",0.372269368318956
"Amphritea","X13428",-0.00658871187759346
"Amylibacter","X13428",-0.200069240221849
"Ascidiaceihabitans","X13428",0.0168866477330147
"AT-s3-44","X13428",0.191755199316174
"Aureispira","X13428",0.292613442354798
"BD1-7 clade","X13428",0.0763219593129484
"Blastopirellula","X13428",0.196142810442837
"Candidatus Actinomarina","X13428",-0.0766094225765704
"Candidatus Endoecteinascidia","X13428",0.296221185102914
"Candidatus Nitrosopelagicus","X13428",0.293967721952388
"Candidatus Nitrosopumilus","X13428",0.259788956910739
"Candidatus Puniceispirillum","X13428",-0.0511149115584451
"Catenovulum","X13428",0.297109308647654
"CL500-3","X13428",0.137551391532519
"Clade Ia","X13428",-0.0471502680512494
"Clade Ib","X13428",0.393863359942725
"Cm1-21","X13428",0.251370392369833
"Colwellia","X13428",0.177017244810964
"Crocinitomix","X13428",0.314665702277273
"D_7__Chaetoceros","X13428",-0.0918973731187143
"Dokdonia","X13428",0.0330185859008785
"Flavicella","X13428",0.259084521944954
"Fluviicola","X13428",-0.152892485027685
"Formosa","X13428",-0.269010759701496
"Francisella","X13428",-0.145438959707222
"FS140-16B-02 marine group","X13428",0.352657910044601
"Halioglobus","X13428",0.253270855136418
"Halomonas","X13428",0.163726574003024
"Hellea","X13428",-0.231638490120313
"hydrothermal vent metagenome","X13428",0.416615852053537
"Idiomarina","X13428",0.0964977749748458
"IS-44","X13428",-0.0639248971472869
"JL-ETNP-F27","X13428",0.34981682491339
"Lentimonas","X13428",0.084494389873525
"Lentisphaera","X13428",0.399068211256496
"Lewinella","X13428",-0.119525480003895
"LS-NOB","X13428",0.311020109391491
"Luminiphilus","X13428",0.017197883664526
"Magnetospira","X13428",0.200829630094508
"Marinagarivorans","X13428",0.240642521982466
"marine metagenome","X13428",0.404037983023471
"Marinimicrobia bacterium SCGC AAA003-E22","X13428",0.244963062021225
"Marinimicrobia bacterium SCGC AAA160-I06","X13428",0.264093064470579
"Marinobacter","X13428",0.170844822017261
"Marinoscillum","X13428",0.202620515842441
